Standard:Deutsch
Operation,Krankenhaus,Doktor,Chirurg,Schneiden,Skalpell,Bruch
Maniküre,Fingernagel,Lack,Feile,Hand,Salon
Hygiene,Körper,Dental,Produkte,Reinigen,Artikel,Desinfektionsmittel
uralt,früher,Geschichte,Vergangenheit,Zeit,antik,jung
amputieren,Bein,Arm,Verletzung,Operation,abtrennen
Sahne,Milch,Kuchen,Butter,weiß,weich,essen,sauer,Eis,nachmittags
Ananas,gelb,Frucht,süß,tropisch,Melone
Zimmermann,Schreiner,Handwerker,Holz,Dach,Beruf
digital,Computer,Daten,Internet,analog,Smartphone,Papier,Bytes
Gerät,Maschine,arbeiten,Computer,Funk,Roboter
Geheimnis,Wissen,Verschweigen,Verschlüsseln,Nachricht,Privat
Trompete,Blechbläser,Instrument,Musik,Tuba,Metall
Grund,Ursache,Zusammenhang,kausal,warum,Folgen
gekoppelt,Wagons,Kupplung,zusammen,verbunden,angehängt
taub,höhren,Ohr,stumm,blind,nicht
Kohle,Feuer,heizen,Holz,schwarz,Tagebau,Bergbau,Brennstoff,Briketts
streicheln,sanft,Berührung,Hand,kuscheln,massieren
Handtuch,schwimmen,Dusche,baden,nass,abtrocknen,Frottee,Wasser
Kredit,Bank,Immobilie,Zinsen,Schulden,leihen,Sparkasse
Anzeige,Display,Monitor,Werbung,Zeitung,Gesuch
Griechenland,Staat,Italien,Mittelmeer,Urlaub,Antike,Euro-Krise
Tier,Hund,Katze,Lebewesen,Fleisch,Kuh,Hase,Reptil,Frosch,Pferd,Pflanze
Zone,Bereich,Grenze,gesperrt,Gebiet,Ort
Bergsteiger,Mount Everest,Gebirge,Sport,klettern,Wanderer,Alpen
Chor,Gesang,Gruppe,Verein,Singen,zusammen,Musik,Lieder
Grad,Celsius,Fahrenheit,Winkel,Bogenmaß,360,Einheit,Temperatur,warm
Metzger,Schlachtung,Beruf,Fleisch,Wurst,Rind
Spinnennetz,acht,Insekt,Ekel,Faden,weben
weit,nah,Entfernung,Weg,Kilometer,Ferne
Schriftsteller,Buch,Autor,Literatur,Goethe,schreiben
Autogramm,Unterschrift,Star,Promi,Bild,signieren
Heilung,Medizin,gesund,Krankheit,Genesung,Arzt
Frieden,Krieg,Gewalt,zusammenleben,Kapitulation,Angriff
Garten,Pflanzen,Wiese,Rasen,Blumen,Sommer,Zuhause,grün,Zaun,Haus,Terasse
Pirat,Seeräuber,Säbel,Freibeuter,Segelschiff,Überfall
Alphabet,Buchstabe,ABC,Latein,Worte,Ziffern
Moschee,Moslems,Islam,Kirche,Religion,Gebet
Boden,Dielen,Laminat,Decke,Füße,unten,Raum
unten,oben,Schwerkraft,fallen,Boden,niedrig
Zange,Werkzeug,Schere,Seitenschneider,Griffe,Hammer
Geldautomat,Girocard,Scheine,Bargeld,Bank,Sparkasse
Heiraten,Ehering,Paar,Verlobung,Hochzeit,Scheidung
Duft,Parfum,Geruch,Nase,Gestank,angenehm
Schulter,Arme,zwei,Rucksack,Oberkörper,Polster
klopfen,klatschen,Fingerknöchel,klingeln,Hand,Tür
Sauna,Aufguss,Schweden,heiß,Welness,Handtuch,schwitzen,gesund,Finnland
Futter,Tiere,essen,Nahrung,trinken,Trog
Bleistift,Schrift,schreiben,Kugelschreiber,radieren,Papier,grau,zeichnen,Graphit,spitzen,Schule,Etui
Erziehen,Kindertagesstätte,Eltern,beibringen,Verhalten,Jugend
reiten,Pferde,Esel,Galopp,Sattel,Trab
Camping,Wochenendausflug,Zelt,Lagerfeuer,Schlafsack,Wohnmobil
Blasrohr,Betäubungspfeil,Tierarzt,Zoo,pusten,schießen
Basketball,Korb,Sport,Mannschaft,dribbeln,groß,Kobe Bryant
Intelligenz,IQ-Test,denken,schlau,dumm,hochbegabt
Informatiker,Computer,programmieren,installieren,Hardware,Software,Studium
Schneiderin,Kleider,nähen,Nähmaschine,Stoffe,Nadel,ändern
Maurer,Haus,bauen,Steine,Baustelle,Zement
Tischtuch,Möbel,Essen,Stoff,Decke,Mahlzeit
Fernseher,Television,Radio,schauen,Filme,Nachrichten,TV,ARD,Programm,Kanäle,Kiste
Hühnerleiter,Hahn,Eier,gackern,krähen,hinaufsteigen,Stall
Geist,klein,Schloss,Gespenst,Fasching,Verkleidung,erschrecken,spuken,fürchten
Bremsscheibe,Auto,unten,kaputt,Unfall,Reifen,Verschleiß
Hausfrau,Familie,Arbeit,Beruf,Haushalt,Erziehung
Korbflechter,Markt,Handwerk,Beruf,Bambus,Stühle
Heilpraktiker,Arzt,Medikamente,Homöopathie,Alternativ,Medizinstudium
Bootsbauer,Fluss,angeln,Beruf,Handwerk,industriell,Schiff
Imker,Honig,vegan,Bienen,Produktion,Beruf
Logopädie,Therapie,Beruf,hier,Sprache,sprechen
Holzspielzeugmacher,Handwerk,Beruf,früher,lackieren,bunt,Plastik
Kutscher,Pferde,Kutsche,Beruf,Wien,Stadtführung,Reiten
Schule,aufstehen,aufschreiben,Lehrer,Stunde,Gymnasium,Schüler,Uni,Test,Klassenarbeit,Student,lernen,studieren
Schokolade,naschen,Bauchschmerzen,schmieren,Milch,Kakao,Essen,süß,Tafel,Lindt
Schublade,Versteck,verschwinden,schnell,Schrank,schieben
Schubkarre,Schuppen,schwer,Spaß,Garten,Transport,Reifen
Schale,Naschkram,Tisch,Quatsch,Glasschüssel,Teller
Schaf,stehen,bauschig,scheu,Mähh!,wolle,Tier
Schiff,Fische,schwimmt,schwer,Boot,Frachter
Schal,Schnee,frisch,anstecken,stricken,Hals,wärmen,frieren
Schere,scharf,Geräusch,schneiden,Papier,Schmerzen,basteln
Schirm,Sturm,Schutz,Schauer,Regen,Sonne
Scherbe,schneiden,zerstören,ungeschickt,spitz,Glas,Vase
Scholle,Fisch,Eis,schwimmen,schnell,schmilzt
Schuh,Matsch,schick,schrubben,Fuß,Socken,Stiefel,Sandale
schieben,Stuhl,Tisch,Dusche,drücken,liegengeblieben
Schürze,schützen,schmieren,gGschirrspühlmaschine,Koch,Grill,schmutzig
Schaukel,Schwung,springen,Rutsche,Spielplatz,Spaß
Kopfkissen,Bett,weich,schlafen,Kopf,Decke
Regenbogen,Himmel,Farben,Sonne,Regentropfen,Lichtbrechung
Teppich,Boden,bedecken,weich,Muster,Fuß
Bibliothek,Buch,lesen,ruhig,ausleihen,arbeiten
Krankenwagen,Unfall,Notfall,Spital,Doktor,Arzt,Sanitäter
Stadtplan,Verkehr,Richtung,finden,verirren,Karte
Friedhof,Tod,beerdigen,Grab,Kirche,Pflanzen,Kapelle
