Sports:English
tennis,court,ball,racquet,net,strings
volleyball,net,court,team,beach,sand
pole vault,run,stick,launch,high,jump
high dive,water,jump,swim,tower
hand ball,soccer,football,hand,palm
polo,horses,riders,club
marathon,26 miles,41 km,long,run,jogging,distance
snowboarding,mountain,cold,white,skiing
surfing,water,snowboarding,wave,sea
chess,board,game,king,queen,sitting
fencing,swords,masks,suit
darts,board,target,arrows,bullseye
billiards,table,snooker,pool,cue
gymnastics,jump,run,fit
arm wrestling,hands,arms,biceps,pin
hedgehog,spikes,rodent,ball,shrub
bat,baseball,swing,home run
goggles,eyes,swim,water
racquet,tennis,net,badminton
cap,head,sun,team
helmet,extreme,motorcycle,bicycle
skates,wheels,ice,figure
course,golf,race,track
club,sports,pool,weights
court,tennis,basketball,lines
pitch,baseball,throw,field
knee pads,protection,bicycle,support
stadium,soccer,olympic,football
track,race,relays,jump
pool,swim,dive,olympics
